"HFAi","treatment"
2.59524353447787,"保留叶际组"
5.8982251051672,"保留叶际组"
23.7870831414912,"保留叶际组"
8.90508391424576,"保留叶际组"
9.49287735160946,"保留叶际组"
25.3506498688328,"保留叶际组"
12.809162059892,"保留叶际组"
-4.45061234606534,"保留叶际组"
1.33147148106474,"保留叶际组"
3.74338029900042,"保留叶际组"
20.4408179743946,"保留叶际组"
11.7981382705736,"保留叶际组"
12.2077145059405,"保留叶际组"
9.3068271594512,"保留叶际组"
2.64158865245925,"保留叶际组"
26.0691313680308,"保留叶际组"
13.1785047822924,"保留叶际组"
-11.4661715662964,"保留叶际组"
15.2135590156369,"保留叶际组"
3.47208592272066,"保留叶际组"
-2.47823705986845,"保留叶际组"
6.02025085341705,"保留叶际组"
-2.0600444830724,"保留叶际组"
0.911087707088597,"保留叶际组"
1.94960732150743,"保留叶际组"
-8.66693310742414,"保留叶际组"
16.5778704449452,"保留叶际组"
9.73373117836515,"保留叶际组"
-3.18136937011948,"保留叶际组"
20.7381492106993,"保留叶际组"
12.4646422147681,"保留叶际组"
5.24928517007729,"保留叶际组"
17.1512566104502,"保留叶际组"
16.9813348753304,"保留叶际组"
16.4158108163749,"保留叶际组"
15.0864025410009,"保留叶际组"
13.7391765353759,"保留叶际组"
7.58088289423278,"保留叶际组"
5.14037336260083,"保留叶际组"
4.39528998987617,"保留叶际组"
1.25293021079487,"保留叶际组"
6.12082721980401,"保留叶际组"
-4.45396351568264,"保留叶际组"
29.8895596533851,"保留叶际组"
20.2796199830499,"保留叶际组"
-3.03108583203349,"保留叶际组"
4.17115164700924,"保留叶际组"
3.53344646376781,"保留叶际组"
15.9996511833632,"保留叶际组"
7.36630933528171,"保留叶际组"
10.7331851399475,"保留叶际组"
7.91453244651297,"保留叶际组"
7.77129542708684,"保留叶际组"
21.8860228401446,"保留叶际组"
5.94229014340732,"保留叶际组"
23.3647060442954,"保留叶际组"
-7.28752804230221,"保留叶际组"
14.0461374963607,"保留叶际组"
9.43854243844614,"保留叶际组"
10.3594156874397,"保留叶际组"
11.9963948275988,"保留叶际组"
3.17676546890698,"保留叶际组"
4.8679261633058,"保留叶际组"
-1.98575383107089,"保留叶际组"
-2.51791226475578,"保留叶际组"
11.2352864140426,"保留叶际组"
12.6820977862943,"保留叶际组"
8.73004226730504,"保留叶际组"
17.4226746787974,"保留叶际组"
28.7008468562714,"保留叶际组"
3.28968833943465,"保留叶际组"
-14.8916887564081,"保留叶际组"
18.2573852446226,"保留叶际组"
1.10799237417607,"保留叶际组"
1.31991383532642,"保留叶际组"
18.455713696967,"保留叶际组"
5.35226992948991,"保留叶际组"
-4.00717712254536,"保留叶际组"
10.0130347974915,"保留叶际组"
6.81108637560955,"保留叶际组"
8.25764185899887,"保留叶际组"
12.0528040112633,"保留叶际组"
4.49339968207591,"保留叶际组"
14.6437654851883,"保留叶际组"
5.99513438181249,"保留叶际组"
11.517819639157,"保留叶际组"
19.1683901314935,"保留叶际组"
12.551814908338,"保留叶际组"
4.94068414468773,"保留叶际组"
19.6880761845109,"保留叶际组"
18.1350385596212,"保留叶际组"
13.6839695950807,"保留叶际组"
10.5873173511144,"保留叶际组"
1.92093923960628,"保留叶际组"
21.8065244853001,"保留叶际组"
2.19740412852873,"保留叶际组"
30.0733299301658,"保留叶际组"
23.5261062618519,"保留叶际组"
5.84299640899523,"保留叶际组"
-2.06420900306781,"保留叶际组"
1.09593436300699,"保留叶际组"
10.7688370915653,"保留叶际组"
5.73308121537626,"保留叶际组"
4.72457400602267,"保留叶际组"
-1.31618567265016,"保留叶际组"
7.7497227519108,"保留叶际组"
0.350955305429241,"保留叶际组"
-8.47941936588137,"保留叶际组"
4.39773479712238,"保留叶际组"
17.3899660906077,"保留叶际组"
2.44653037391608,"保留叶际组"
14.2796432222503,"保留叶际组"
-7.97882708289164,"保留叶际组"
7.64438034475461,"保留叶际组"
13.3940720394346,"保留叶际组"
11.2115336216671,"保留叶际组"
9.25676194148943,"保留叶际组"
1.79293991694624,"保留叶际组"
-0.297043460335823,"保留叶际组"
-2.04128790604913,"保留叶际组"
9.37646597100126,"保留叶际组"
-1.27474614184802,"保留叶际组"
3.29442556299332,"保留叶际组"
5.63907807801753,"保留叶际组"
26.6386200523221,"保留叶际组"
1.68050098304541,"保留叶际组"
10.5538657228486,"保留叶际组"
8.97960849563711,"保留叶际组"
-1.41856634130129,"保留叶际组"
7.48691913876401,"保留叶际组"
22.6455085842335,"保留叶际组"
12.7150405307921,"保留叶际组"
8.6123292199294,"保留叶际组"
3.97503167660375,"保留叶际组"
-12.3324722154052,"保留叶际组"
19.5133721341418,"保留叶际组"
-6.40640070924822,"保留叶际组"
15.5994751087733,"保留叶际组"
27.2910356921748,"保留叶际组"
-6.23893160971799,"保留叶际组"
15.2178433537471,"保留叶际组"
5.57802510597532,"保留叶际组"
-7.52144159145488,"保留叶际组"
-6.94667653781752,"保留叶际组"
-7.81536173574593,"保留叶际组"
2.89093477829697,"保留叶际组"
-6.417555849959,"保留叶际组"
15.0791677297583,"保留叶际组"
29.2010894052567,"保留叶际组"
-4.67030476035179,"保留叶际组"
16.0773884747518,"保留叶际组"
15.8904224100091,"保留叶际组"
11.5220257895012,"保留叶际组"
-1.88376608277008,"保留叶际组"
7.00547393369341,"保留叶际组"
5.39604664829753,"保留叶际组"
13.8298953322048,"保留叶际组"
-4.22438756103829,"去除叶际组"
9.26973386685621,"去除叶际组"
-4.24580857767014,"去除叶际组"
10.0271146557933,"去除叶际组"
-10.9917700666607,"去除叶际组"
-13.1015524475811,"去除叶际组"
31.910399349424,"去除叶际组"
-4.66857588160432,"去除叶际组"
2.48227591540715,"去除叶际组"
5.86569674033849,"去除叶际组"
-5.33780625708744,"去除叶际组"
4.66862044313609,"去除叶际组"
3.18964527385086,"去除叶际组"
-2.65380507641693,"去除叶际组"
0.152930335253153,"去除叶际组"
-0.84067253738464,"去除叶际组"
20.7845189901618,"去除叶际组"
-7.91336096272828,"去除叶际组"
-11.4599626707466,"去除叶际组"
-0.122116008289212,"去除叶际组"
2.60480749443137,"去除叶际组"
3.86523478910183,"去除叶际组"
-5.08365332711106,"去除叶际组"
-11.1332613397119,"去除叶际组"
12.1318517608949,"去除叶际组"
-3.99650387953555,"去除叶际组"
-9.15512862653374,"去除叶际组"
-2.86279568941097,"去除叶际组"
-2.47175894348552,"去除叶际组"
10.5992028971364,"去除叶际组"
0.347372921971965,"去除叶际组"
7.04053785184522,"去除叶际组"
-5.49292017172261,"去除叶际组"
1.64445309581601,"去除叶际组"
-3.74685911490835,"去除叶际组"
0.445835281735714,"去除叶际组"
-9.45363357977542,"去除叶际组"
-13.6080153332797,"去除叶际组"
19.4721338474797,"去除叶际组"
5.50708823672418,"去除叶际组"
-13.0127136162494,"去除叶际组"
-6.61165916680421,"去除叶际组"
-12.3548008459731,"去除叶际组"
21.4881034888372,"去除叶际组"
